1,나눔로또판매점
2,다이소 코엑스몰점
2,준정형외과
3,푸른약국
4,인터넷뱅킹
5,힘정형외과
6,CU 성수IT밸리점
7,고렙
8,LG U+
9,우체국
10,로빈그릴하우스
11,세븐일레븐 저동점
12,한성슈퍼 나들가게
13,SKT
14,FBS출금
15,검은사막
16,이규호치과의원
17,이마트에브리데이
18,파리바게뜨 을지로3가역점
19,YES24
20,신한은행
21,기업은행
22,우리은행
23,이마트24 충무로2가점
24,대림마트
25,이마트 산본점
26,인터넷 뱅킹
27,세븐일레븐 낙산비치점
28,GS25낙산해송점
29,돈호야
30,맘스터치강릉대학로
31,홈플러스 강릉점
32,꽃사슴복권마트
33,KT서강릉지점
34,GS낙산해송점
35,진평양행 복권타운
36,남매식당
37,GS25강릉용강점
38,IBK기업은행 강릉지점
39,본죽 강릉중앙점
40,빽다방 강릉금학점
41,CU 강릉유니시티점
42,맥도날드 강릉점
43,GS25강릉금막점
44,강릉사랑 파리바게뜨
45,25시리빙마트
46,동원칼국수
49,CU 낙산향기점
50,용우동(금학동)
51,해맞이기사식당
52,낙산종합버스터미널
53,강릉 란 헤어샵
54,강릉시외버스터미널
55,프로토 용강점
56,강현농협하나로마트낙산점
57,IBK기업은행 강릉지점
58,FBS 충금
59,강릉 짱 게임장
60,GS25낙산해송점 ATM
61,낙산시외버스터미널
62,옥션
63,한국유통
64,왕궁웨딩
65,강릉버스터미널
66,강릉역
67,강릉맞이방편의점
68,금정역
69,신수리고속버스터미널
70,안양시외버스터미널
71,육회지존(금정점)
72,원광대 산본치과병원
73,스타벅스 사당역점
74,한우마을
75,씨유산본역점 옆
76,세븐일레븐 산본희망점
78,교보생명
79,GS25 성수대우점
80,GS25 삼성역점
81,쥬씨(봉은사역점)
82,씨 스페이스 삼성1점
83,KFC 코엑스몰점
84,노메
85,IT부페
86,헤어노블레스
87,아마스빈 뚝섬역점
88,산본역
89,노랑강정(산본점)
90,국민은행
91,산본 치과 원광대학병원
92,씨유 산본역점 옆
93,대학약국
94,이마트24 성수예당점
95,홈플러스 익스프레스 뚝섬점
96,CU 성수디지털타워점
97,뚝섬역 파리파게뜨
98,뚝섬역
99,산본 원광대치과병원
100,뚝섬역 파리바게뜨
101,LA타운
102,영빈관
103,서동관
104,아이템베이
105,명동역
106,CU 충무로2가점
107,부자
108,산본역 기업ATM
109,부산돼지국밥
110,원보창현식당
111,화로백서
112,알파 퇴계로점
113,카카오페이
114,CU 산본역점
115,CU 산본역점 옆
116,맛있는반찬
117,시골통닭(사당점)
118,맥도날드 명동점
119,1988곰면옥
120,신촌설렁탕
121,교보보험
122,세븐일레븐 사당
123,산본역 2호 파리바게뜨
124,끼니야
125,정선함내곤드래밥
126,명동교자
127,우리ATM
128,더 채플 앳 청담
129,명동 사무실
130,CU산본역점 옆
131,명궁
132,산본역 기업 ATM
133,신진약국
134,맛있는 반찬
135,대운치킨
136,KB국민은행 중부지점
137,세븐일레븐 아시아미디어점
138,봄다방
139,어사출또
140,이마트24 정왕월드점
141,이마트24 부천상동점
142,GS25S상동역점
143,GS25S가산디지털단지
144,전주콩나물국밥
145,마포만두 충무로점
146,팔팔찜
147,신한은행 부천상동점
148,대박할인마트
149,바이더웨이 상동제일점
150,GS25 상동현해점
151,GS25상동현해점
152,스마일명품찹쌀과베기
153,우리은행ATM
154,로또판매소
155,부천 상동 김밥천국
156,이마트24 부천상동덤
157,티몬
158,애플김밥
159,가산하행종합편의점
160,상동역
161,토스
162,마이크로소프트
163,더치앤빈(상3동점)
164,나눔로또판매점
165,상동한식부페
166,와수리 버스터미널
167,센터안경
168,경비실
169,육회지존(금정)
170,롯데리아 부천상동점
171,PAPA아이스크림
172,스시메이진(부천상동점)
173,상동역 기업ATM
174,홈플러스 익스프레스 부천상동3점
175,강남역 6번출구 매점
176,GS25상동현해저
177,GS25상동역점
178,아마스빈 상동점
179,GS25상돈현해점
180,버거킹 상동점
181,롯데리아 상동점
182,성북동왕돈까스
183,원광대학교산본병원
184,뚜레쥬르 상동역
185,CU상동라일락점
186,복권판매점
187,해양조사원
188,기업은행 상동역지점
189,편의점
190,밥짱 한식부페
191,인천 가좌동
192,부평역
193,파리파게트
194,핸드폰메모리 공장
195,복권판매소
196,상하이
197,커피원쥬스원
198,맥도날드 홈플러스 상동점
199,동암역
200,놀부보쌈
201,인터넷 쇼핑
202,연보쌈
203,국민은행 상동역지점
204,피자굼터
205,우리홈마트
206,아버지일
207,맥도날드 상동역점
208,성북동왕동까스
209,둘둘치킨
210,김밥천국
211,맥도날드 상동
212,다이소 부천상동역점
213,뚜레쥬스 상동역
214,GS상동디아뜨점
215,광명서편맞이직영편의점
216,815슈퍼(부산)
217,다이소 부산영도동상점
218,GS25상동디아뜨점
219,버거킹 상동역점
220,마루(부천상동점)
221,슈퍼
222,복권판매점 썬마트
223,진성철물설비 생활용품
224,오피스디포 성동점
225,스마일명품찹쌀꽈베기
226,쥬씨(부천상동점)
227,구리 휴게소
228,다나와(플라잉랩)
229,쿠팡
230,쿠젠 북수원서비스
231,신수리버스정류장
232,스팀(토스)
233,스마일명품찹쌀꽈배기
234,청룡각
235,농협
236,기업은행 뚝섬역지점
237,오피스안 성동점
238,산본역 2호 파리파게트
239,백년식당서서갈비(수원점)
240,농바우상륙했소
241,국민카드
242,신림역
243,프라빈 서울숲점
244,약국
245,병원
246,국민은행ATM
247,쿡라이프
248,LGU+
249,테라
250,친구
251,인터넷쇼핑
252,잠실야구장
253,길거리
254,문방구
255,버스
256,가게
258,지하철역
259,고용노동부
260,회식
261,학원내
262,굿대디 돈까스
263,CU 덕산점
264,아이포 보라매점
265,배밭골
266,카페
267,식당
268,Q-net
269,강남역
270,보라매역 자판기
271,롯데리아 보라매 타운점
272,중국관
273,미인초밥
274,노랑강정산본
275,맘스덮밥
276,늘
277,일미분식
